,Unnamed: 0,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City,Unnamed: 0.1
0,0,Dr. Kaustubh Das,Dentist,22,"BDS, MFDS RCPS(Glasgow), FFD RCS (IRE)",₹ 500,,ASPIRE CLINIC,Kolkata,,10:00 AM,7:00 PM,Kolkata,
1,1,Dr. Pioneer Scans,Dentist,24,"BDS, MDSPioneer Scans   , Kolkat",,,,,,9:00 AM,2:00 PM,Kolkata,
2,2,Dr. Asif Naushad,Dentist,19,"House Surgeon, House Surgeon, House Surgeon, BDS",₹ 300,₹ 300,JM DENTAL,Kolkata,DenturesNext ,10:00 AM,9:00 PM,Kolkata,
3,3,Dr. Prabhjeet Singh Sethi,Dentist,24,Certified Implantologist,₹ 500,₹ 350,Dontia Dental Care,Kolkata,"Oral Thrush, Stained Teeth, Painful TeethingNext ",3:00 PM,8:00 PM,Kolkata,
4,4,Dr. Dibyendu Dutta,Dentist,30,"Certified Implantologist, Advanced Aesthetics, BDS",₹ 300,₹ 500,Smilz Dental Treatment Facility,www.smilz.net,"Teeth Cleaning, Root canal, Dental FillingsNext ",11:00 AM,1:00 PM,Kolkata,
5,5,Dr. Sanket Chakraverty,Dentist,15,"MDS Prosthodontics, B.D.S",₹ 300,₹ 300,Teeth Care Multispeciality Dental Clinic,Rajarhat Road,"Root canal, Dental Fillings, Teeth Cleaning",4:30 PM,8:30 PM,Kolkata,
6,6,Dr. Subhajit Dutta,Dentist,13,BDS,₹ 500,₹ 300,SIGNATURE SMILE Dental Clinic,Kolkata,,5:00 PM,9:00 PM,Kolkata,
7,7,Dr. Anupreet Kaur Choudhury,Dentist,25,"BDS, MDS - Oral Medicine and Radiology",₹ 500,₹ 500,Dentall,Kestopur,"Metal Braces, Teeth Cleaning, Scaling and Polishing TeethNext ",5:00 PM,8:00 PM,Kolkata,
8,8,Dr. F Sarkar,Dentist,17,BDS,₹ 400,₹ 400,Dr F Sarkar,Lenin Sarani,"Root canal, Teeth StraighteningNext ",4:00 PM,6:30 PM,Kolkata,
9,9,Dr. Supratim Chanda,Dentist,21,BDS,₹ 500,,Chanda Dental Clinic,Shyambazar,,12:00 PM,6:30 PM,Kolkata,
10,10,Dr. Ruchi Lohia,Dentist,25,"BDS, Fellow of Academy of General Education (FAGE), Advanced Endotontic Course On Root Can...read more",₹ 450,₹ 125,Apurva Dental Care,Salt Lake,Toothache,10:30 AM,2:00 PM,Kolkata,
