,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
0,Dr Vikas Yadav Yadav,Dentist,18,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",₹ 100,,MEDIDENT SUPERSPECIALITY DENTAL & POLY CLINIC,Najafgarh,,09:00 AM,01:00 PM,Chennai
1,Dr. Sandeep Kumar Jangra,Dentist,24,"MDS - Orthodontics, BDS, Certified Implantologist",₹ 500,₹ 300,The White Expert Dental Care,East Of Kailash,,09:30 AM,05:30 PM,Chennai
2,Dr. Ashok Yadav,Dentist,14,"MDS - Orthodontics, BDS",₹ 200,,Dr. Ashok's Dentistree,Gole Market,,10:00 AM,07:00 PM,Chennai
3,Dr. (Prof) Rachit Walia,Dentist,20,"MDS , BDS",₹ 500,₹ 500,K.V Dentals,Gulabi Bagh,,05:00 PM,08:00 PM,Chennai
4,Dr. Kultej Saluja,Dentist,32,"BDS, Certified Implantologist",₹ 300,₹ 500,Dentalservices,Lajpat Nagar,,09:30 AM,06:30 PM,Chennai
5,Dr. Devaanshu Dewan,Dentist,19,"BDS, BDS (Implantologist)",₹ 200,₹ 300,S.K Dental Care,Uttam Nagar,"Tooth Extraction, Gap ClosingNext ",10:15 AM,08:30 PM,Chennai
6,Dr. Shipra Rawal,Dentist,29,"BDS, Certified Implantologist",₹ 400,₹ 500,Dr.Rawal Dental Centre,Uttam Nagar,,05:00 PM,08:00 PM,Chennai
7,Dr. Aashish Pandit,Dentist,14,"BDS, MDS - Periodontics, Post-Graduate Certificate in Oral Implantology (PGCOI)",₹ 300,₹ 200,Dr. Pandit's Dental & Implant Center,Delhi,,09:30 AM,02:00 PM,Chennai
8,Dr. Avinash Singh,Dentist,21,"BDS, MDS",₹ 300,₹ 300,AMAR DENTAL CLINIC,Delhi,,10:00 AM,09:00 PM,Chennai
9,Dr. Vineet Kapoor,Dentist,16,"BDS (Implantologist), MDS - Periodontics",₹ 300,₹ 400,Cures 'n' Care Dental Clinic - Vasundhara,Vasundhara,"Gap Closing, Painful Teething, Toothache",10:30 AM,01:30 PM,Chennai
10,Dr. Amandeep Singh Arora,Dentist,13,MDS - Pedodontics,₹ 500,₹ 500,Dr. Aman's Tooth Town,Vasant Vihar,Teeth Cleaning,10:30 AM,08:00 PM,Chennai
11,Dr. Shri Krishna Kabra,Dentist,24,"MDS Prosthodontics, BDS",₹ 300,,Smile konnekt Dental Clinic,Delhi,,10:30 AM,01:30 PM,Chennai
12,Dr. Pankaj Rao,Dentist,18,"B.D.S, M.D.S Endodontist",₹ 500,₹ 500,oraa care smile dental clinic,Dwarka,"Root canal, Root Canal Treatment (RCT), Root Canal Treatment",03:00 PM,09:00 PM,Chennai
13,Dr. Rajeev Gupta,Dentist,29,BDS,₹ 500,₹ 200,Balaji Multispeciality Dental Centre,Paschim Vihar,"Painful Teething, Gap Closing, Bleeding GumsNext ",05:00 PM,08:00 PM,Chennai
14,Dr. Deepti Rajput,Dentist,17,"BDS, MDS",₹ 669,₹ 300,Bytes And Braces,Rajouri Garden,"Dental Fillings, Fillings, ImplantsNext ",05:00 PM,08:00 PM,Chennai
15,Dr. Rajnish K Jain M.D.S.,Dentist,23,MDS,₹ 400,,Dr. Rajnish K. Jain's Super Speciality Dental Clinic & Implant Centre,Pitampura,"Fillings, Root canal, Root Canal TreatmentNext ",06:00 PM,08:30 PM,Chennai
16,Dr. Sundeep Khurana,Dentist,26,BDS,₹ 400,₹ 150,,,"Stained Teeth, Dental Fillings, Teeth WhiteningNext ",04:30 PM,08:00 PM,Chennai
17,Dr. Priyank Jayna,Dentist,23,"MDS - Orthodontics, B.D.S.",₹ 750,,Jayna Dental Center,Connaught Place,,02:00 PM,05:30 PM,Chennai
18,Dr. Prof.Asheesh Gupta,Dentist,24,"MDS, Certificate in implantology, MDS",₹ 200,₹ 200,Dr. Gupta's Dental & Braces Clinic,Rohini,"Painful Teething, Mouth Sores, Teeth Cleaning",11:00 AM,01:30 PM,Chennai
19,Dr. Apoorv Mittal,Dentist,29,"Bachelor of Dental Surgery, Diploma in Hospital Administration, Diploma in Pharmacy",₹ 100,₹ 100,Shivam Hospital,Rohini Sector 16,,12:00 PM,02:00 PM,Chennai
20,Dr. Ashutosh Jha,Dentist,17,"BDS, B.D.S,B.sc.Hons,P.G.C.I.D,P.G.C.A.D",₹ 100,₹ 100,Hms Dental Clinic & Implant Centre,Madhu Vihar,,01:00 PM,04:00 PM,Chennai
21,Dr. Bhupendra Singh Rawat,Dentist,18,BDS,₹ 400,,Health Factor Multi Speciality Clinic,Hari Nagar,,06:00 PM,07:00 PM,Chennai
22,Dr. Sony Mishra,Dentist,22,"MDS, BDS",₹ 650,₹ 300,Smilekraft Multispeciality Dental Clinics,Delhi,"Braces for Adults and Teens, Dental Care, Dental ImplantsNext ",09:30 AM,02:00 PM,Chennai
23,Dr. Divya Swarup,Dentist,14,"MDS - Orthodontics & Dentofacial Orthopaedics, BDS (Implantologist)",₹ 400,₹ 300,,,,05:00 PM,09:00 PM,Chennai
24,Dr. Gaurav Jain,Dentist,23,"MFDS RCPS (Glasgow), MDS - Oral & Maxillofacial Surgery, BDS",₹ 600,₹ 500,Supreme Smile,Mayur Vihar Phase 1,"Fillings, Root canal, Root Canal Treatment",10:00 AM,02:30 PM,Chennai
25,Dr. Mahinder Singh Yadav,Dentist,20,"BDS, MDS - Orthodontics",₹ 500,,Shri Balaji Dental & Orthodontic Centre,Dwarka,Jaw ReshapingNext ,09:30 AM,01:30 PM,Chennai
26,Dr. Mayank Ashok,Dentist,14,"Orthodontist  BDS, MDS - Orthodontics & Dentofacial Orthopaedics",₹ 300,,Olive Dental Clinic,C R Park,Dental FillingsNext ,07:00 AM,01:30 PM,Chennai
27,Dr. Varun Dahiya,Dentist,21,"BDS, MDS(Periodontology)",₹ 500,₹ 100,,,"Braces for Adults and Teens, Implant Tooth Fixing, Dental Implant FixingNext ",10:00 AM,06:00 PM,Chennai
28,Dr. Aseem Arora,Dentist,22,BDS,₹ 500,,Dr J M Arora Dental Clinic,Alaknanda,,05:30 PM,08:30 PM,Chennai
