,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
0,Dr. Capt Manjunath S B,Dentist,30,"BDS, MDS Prosthodontics",₹ 500,₹ 500,Ramitha Dental Clinic Prosthodontic & Implantalogy Center,Jayanagar,"Root canal, Root Canal Treatment, Amalgam RemovalNext ",05:00 PM,09:00 PM,Bangalore
1,Dr. M. R. Pujari,Dentist,18,"MDS, BDS",₹ 200,₹ 250,32 Smiles Multispeciality Dental Clinic - Main Branch,Marathahalli,"Root canal, Teeth Cleaning, Teeth WhiteningNext ",09:00 AM,01:30 PM,Bangalore
2,Dr. Shyam Padmanabhan,Dentist,26,"BDS, MDS - Periodontology and Oral Implantology",₹ 400,₹ 300,Vignesh Dental Speciality Centre,New Thippasandra,"Fillings, Tooth Coloured Fillings, Root canalNext ",09:30 AM,01:30 PM,Bangalore
3,Dr. Sudheer R Prabhu,Dentist,24,"Post-Graduate Certificate in Oral Implantology (PGCOI), FICOI (Fellow of International Con...read more",₹ 500,₹ 250,Prabhu Dental Care & Implant Centre,Murugeshpalya,"Root canal, Dental Fillings, ToothacheNext ",05:15 PM,08:45 PM,Bangalore
4,Dr. Harish Krishna,Dentist,18,MDS - Orthodontics,₹ 100,₹ 100,Pooja Dental & Orthodontic Clinic,Bang,"Tooth Extraction, ToothacheNext ",05:00 PM,09:30 PM,Bangalore
5,Dr. Arihant  Bhandari,Dentist,11,MDS - Pediatric Dentistry,₹ 300,₹ 400,Arihant's Dental Solutions,Chamarajpet,,05:00 PM,08:00 PM,Bangalore
6,Happy Teeth,Dentist,21,BDS,₹ 300,₹ 500,Happy Teeth,Kasavanahalli,,10:00 AM,01:30 PM,Bangalore
7,Dr. Sha Perveez  Azher,Dentist,18,"PGDHCM, Cert.Implant, D.Ortho, F.A.G.E, BDS",₹ 200,₹ 100,Sha Dental Care & Implant Centre,Kothanur,"Teeth Whitening, Root canal",10:00 AM,01:00 PM,Bangalore
8,Dr. Jins John,Dentist,18,MDS Prosthodontics,₹ 300,₹ 200,KOSMIX DENTAL,HSR Layout,Teeth CleaningNext ,04:00 PM,08:30 PM,Bangalore
9,Dr. Nikhil Sharma,Dentist,10,MDS - Orthodontics,₹ 300,₹ 250,,,,10:30 AM,08:00 PM,Bangalore
10,Dr. Arnab Mallik,Dentist,12,BDS,₹ 200,₹ 100,SANJEEVANI DENTAL CLINIC - City Centre,HAL,"Teeth Cleaning, Ceramic Braces, Artificial Teeth",09:00 AM,02:00 PM,Bangalore
11,Dr. Bryan D Menezes,Dentist,19,,₹ 600,₹ 199,Smile Isle Dental Care,Dollars Colony,,10:30 AM,07:00 PM,Bangalore
12,Dr. Brijesh Byrappa,Dentist,14,"BDS, FAGE, FICOI, MICOI, FMC",₹ 500,₹ 500,Dental Experts,A Super Speciality Dental Clinic,,10:00 AM,10:00 PM,Bangalore
13,Dr. Prashanth Srinivas,Dentist,10,"MDS - Pediatric Dentistry, certified  aligner provider, CERTIFIED ORAL IMPLANTOLOGIST",₹ 500,₹ 100,fab DENTAL,Basaveshwara Nagar,"Toothache, Dental FillingsNext ",10:30 AM,08:30 PM,Bangalore
14,Dr. Rashmi Raghavan,Dentist,27,"BDS, MDS - Periodontics",₹ 300,₹ 100,Family Dental Care,Bang,"Dental Care, Root canal, Dental Check-ups ",09:00 AM,01:00 PM,Bangalore
15,Dr. Sunny Soni,Dentist,13,"BDS, MDS - Conservative Dentistry & Endodontics",₹ 250,,Aesthetic Dental Clinic,Outer Ring Road,Root canalNext ,04:15 PM,07:15 PM,Bangalore
16,Dr. Neetu Punhani,Dentist,19,"MDS, BDS",₹ 300,,TOOTH DOCTOR,Kasturi Nagar,,06:00 PM,09:00 PM,Bangalore
17,Dr. Sudhakar Reddy,Dentist,21,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI, DICOI, DWCOI",₹ 400,₹ 300,Dental Implant Studio,Bang,,09:30 AM,12:00 PM,Bangalore
18,Dr. Arunima Chandra,Dentist,9,"BDS , MCP",₹ 300,₹ 300,Oyster Dental clinic,Whitefield,,05:00 PM,09:00 PM,Bangalore
19,Dr. Piyusha S Patil,Dentist,17,"MDS, BDS",₹ 200,₹ 100,Little Smiles,Bang,,09:00 AM,01:00 PM,Bangalore
20,Dr. Sheetal Shyju Neyyan,Dentist,19,BDS,₹ 500,,Little Smiles,Bang,,03:00 PM,07:00 PM,Bangalore
21,Dr. Vikram V Kamath,Dentist,18,"MDS - Orthodontics, BDS",₹ 600,₹ 100,Kamath's Dental Clinic,Thanisandra Main Road,Root canal,10:00 AM,08:00 PM,Bangalore
22,Dr. Supreeth S. M,Dentist,25,"DGOI, Aesthetic , M.Sc - Master of Oral Implantology (MOI), MDS - Orthodontics & Dentofaci...read more",₹ 250,₹ 150,The Smile Designerz,JP Nagar,"Mouth Sores, Stained Teeth, Root canal",09:00 AM,09:00 PM,Bangalore
23,Dr. Neha Rajni,Dentist,20,"MDS - Orthodontics, BDS",₹ 200,₹ 200,Coral Dental Care,Sarjapur,"Root canal, Tooth ExtractionNext ",09:00 AM,01:00 PM,Bangalore
24,Dr. Jayanthi N,Dentist,16,"MDS, Advanced Aesthetics",₹ 200,,The dental square Multispeciality Dental Clinic A Unit Of Arden Inc,Electronic City,Teeth Cleaning,10:00 AM,09:00 PM,Bangalore
25,Dr. Manisha Agarwal,Dentist,17,"M.D.S-Pedodontics and Preventive Dentistry, BDS",₹ 300,₹ 200,Pedo Pearlz Dental Clinic,JP Nagar,"Mouth Sores, Teeth StraighteningNext ",04:00 PM,08:00 PM,Bangalore
26,Dr. Hemalatha Sanjay,Dentist,29,"MDS - Orthodontics & Dentofacial Orthopaedics, BDS",₹ 500,₹ 300,Ashirwad Dental Centre,JP Nagar,Teeth CleaningNext ,10:00 AM,08:00 PM,Bangalore
27,Dr. Murali Mohan,Dentist,25,"AO CMF Fellow, FFD RCS (IRE), FICLPS, DNB(OMFS), MOMSRCPS, MDS - Oral & Maxillofacial Surgery, BDS",,₹ 500,Sagar Hospital,Banashankari,,11:00 AM,04:00 PM,Bangalore
28,Dr. Sharadha Bai,Dentist,28,BDS,₹ 200,₹ 100,Sai Ram Abhayahasta Multispeciality Dental care,Kaggadasapura,"Aesthetic Crown And Bridges, Dental Prevention, Dental CariesNext ",09:00 AM,12:00 PM,Bangalore
29,Dr. Dhruv,Dentist,19,"Diploma of the SOLA , BDS",₹ 300,,Dr.Dhruv Dental Care,Indira Nagar,,06:00 PM,08:00 PM,Bangalore
30,Dr. Mallesh S A,Dentist,16,"BDS, PGMHA",₹ 100,₹ 100,The Dental Zone,Bang,,05:00 PM,09:00 PM,Bangalore
31,Dr. Girish Guddathimmaiah,Dentist,23,BDS,₹ 100,,Chinmayi Dental & Medicare,Vijayanagar,,09:00 AM,07:00 PM,Bangalore
32,Dr. Murthy.K.N,Dentist,26,BDS,₹ 200,₹ 100,New Life Dental Clinic,Bang,,10:00 AM,08:00 PM,Bangalore
33,Dr. Arti Misra Sharma,Dentist,13,BDS,₹ 200,₹ 100,Total Tooth Care,JP Nagar,"Stained Teeth, Root canal, Painful TeethingNext ",10:00 AM,02:00 PM,Bangalore
34,Dr. Kaushlendra Kumar,Dentist,12,"MDS Prosthodontics, BDS, FOI",₹ 400,₹ 300,SMILES CENTRAL,Kasavanahalli,,10:30 AM,07:30 PM,Bangalore
35,Dr. Brenda William,Dentist,16,"Post Graduate Diploma in Healthcare Management (P.G.D.H.M), Certification in Full Mouth Re...read more",₹ 500,₹ 100,JIMS Dental Centre For Advanced Oral Care,Devarachikkanahalli,,10:00 AM,07:30 PM,Bangalore
36,Dr. Niraj Kumar,Dentist,17,BDS,₹ 100,₹ 200,SRI SATHYA SAI DENTAL CARE  CENTRE,Bang,,09:00 AM,08:30 PM,Bangalore
37,Dr. Kavitha K,Dentist,22,BDS,₹ 300,₹ 200,All smiles the dental clinic,Bang,Teeth Cleaning,08:00 AM,11:00 PM,Bangalore
38,Dr. Marimallappa T R,Dentist,20,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI",,₹ 100,Bhavana Dental Care,Hebbal,,05:00 PM,09:00 PM,Bangalore
39,Dr. Divya Puranik,Dentist,14,MDS,₹ 400,₹ 500,Puranik's Dental Care,Bang,,09:00 AM,08:00 PM,Bangalore
40,Dr. Nishanth Shetty,Dentist,8,MDS - Orthodontics,₹ 200,₹ 10,Imprssns n Exprssns,Thubarahalli,"Dental Fillings, Teeth Cleaning, Fillings",10:00 AM,09:00 PM,Bangalore
41,Dr. Gautham Kalladka,Dentist,17,"BDS, MDS",₹ 200,₹ 100,DR.GOUTHAM.K,Rajaji Nagar,,10:00 AM,08:30 PM,Bangalore
42,Dr. Ratan Salecha,Dentist,22,"PG in Esthetic, BDS",₹ 200,₹ 300,Salecha Dental Clinic,Dr Ratan Salecha,,10:00 AM,08:00 PM,Bangalore
43,Dr. Vimala Devi,Dentist,17,"MDS, BDS",₹ 300,₹ 200,NUSMILES Dental Clinic,Marathahalli,,10:30 AM,01:30 PM,Bangalore
44,Dr. Prakash Chandra Shetty,Dentist,37,"MDS, BDS",₹ 300,,MSR Dental Center,New BEL Road,,05:00 PM,07:00 PM,Bangalore
45,Dr. Shamaz Mohamed,Dentist,20,"Evidenced based medicine, MDS",₹ 200,₹ 100,,,"Scaling and Root Planing, Root Canal Treatment, Root canal",10:30 AM,01:00 PM,Bangalore
46,Dr. Shobith Shetty,Dentist,19,"BDS, MDS, M.Sc - Master of Oral Implantology (MOI), Fellow of International Congress Of Or...read more",₹ 200,₹ 300,Beyond smiles,Indira Nagar,,10:30 AM,08:00 PM,Bangalore
47,Dr. Rajesh Raveendranathan,Dentist,31,,,,,,TmjNext ,11:00 AM,05:00 PM,Bangalore
48,Dr. Roshni Maurya,Dentist,14,"BDS, MDS",₹ 100,₹ 50,Tooth Planet Multispeciality Dental Clinic,Outer Ring Road,"Teeth Cleaning, Tooth Extraction, Root canal",09:30 AM,01:00 PM,Bangalore
49,Dr. Lakshminarayana.N,Dentist,17,BDS,₹ 100,₹ 100,NAYAN DENTAL CLINIC,Electronic City,,09:00 AM,09:00 PM,Bangalore
50,Dr. Sneha,Dermatologist,11,"Bachelor of Medicine, Bachelor of Surgery (M.B.B.S.), Medicine, Diploma In Dermatology And...read more",₹ 500,,Beautiful Mind Healthcare,Bang,,04:30 PM,08:00 PM,Bangalore
51,Dr. Prem Kishore Srivastava,Dermatologist,42,"MD - Dermatology , Venereology & Leprosy, Diploma In Dermatology And Venerology And Lepros...read more",,₹ 400,Famphy,Bang,"Oily Skin, Skin Growths, EczemaNext ",06:00 PM,07:00 PM,Bangalore
52,Dr. Rajeshwari K A Bhat,Dermatologist,21,"MBBS, MD, DNB",₹ 600,₹ 800,Tvacha Skin & Cosmetology Clinic,Kaggadasapura,"Hair Loss, Hair Growth, PimplesNext ",06:00 PM,08:00 PM,Bangalore
53,Dr. Rashmi S,Dermatologist,22,"MD - Dermatology, MBBS, National Law School of India Univeristy, Bangalore",₹ 600,₹ 600,Menakshi cosmoderma care,Bannerghatta Road,"Pimples, Acne / Pimples Treatment, Pimples TreatmentNext ",09:30 AM,12:00 PM,Bangalore
54,Dr. Deepak H.S,Dermatologist,21,"FRGUHS, Fellow in Dermatosurgery, Diploma In Dermatology And Venerology And Leprosy (DDVL), MBBS",₹ 500,,SD Dermatz Skin Clinic,Raja Rajeshwari Nagar,"Skin Care, Acne / Pimples Treatment, PimplesNext ",10:00 AM,01:30 PM,Bangalore
55,Dr. Shilpa Bhat,Dermatologist,17,"MD - Dermatology , Venereology & Leprosy, MBBS",₹ 600,₹ 500,Subodha Skin & Cosmetic Clinic,Konanakunte,,03:00 PM,04:30 PM,Bangalore
56,Dr. Gurucharan Singh,Dermatologist,36,"MBBS, MD",₹ 600,,Rajis Skin Care Center,HRBR Layout,"Pimples Treatment, Dermatitis, DandruffNext ",10:00 AM,01:00 PM,Bangalore
57,Dr. Yogesh,Dermatologist,15,"MBBS, MD - Dermatology, Venereology & Leprosy",₹ 300,₹ 400,PROMED Hospital,Banashankari,"Acne/Pimples, Skin Whitening, Dark Skin",07:00 PM,08:00 PM,Bangalore
58,Dr. Pushpa K R,Dermatologist,9,MD - (Dermatology & STD),₹ 400,₹ 400,Epitome Skin & Laser Centre,Banashankari,,10:00 AM,01:00 PM,Bangalore
