,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
0,Dr. Sujatha,Dentist,,,,,,,,03:30 PM,08:30 PM,Chennai
1,Dr. D S K Ravi Shankar Sha,Dentist,20,"Certified Implantologist, BDS",₹ 200,₹ 150,Shukra Dental Centre,Chintadripet,"Dental Care, Crowns And Bridges, Ceramic CrownsNext ",09:30 AM,11:00 PM,Chennai
2,Dr. Vivek Chandrakumar,Dentist,18,BDS,₹ 200,₹ 200,Vivek's Dental Care,Guindy,Straightening Teeth (Conventional Braces),05:00 PM,09:00 PM,Chennai
3,Dr. Natesh S,Dentist,26,"MDS Endodontist, BDS",₹ 200,₹ 200,Mount Dental Clinic -Butt Road,Chennai,Root canalNext ,05:00 PM,09:00 PM,Chennai
4,Dr. Yasmin Asma Zohara,Dentist,30,MDS - Oral & Maxillofacial Surgery,,₹ 300,SUPREME MULTI SPECIALITY DENTAL CENTRE,Vadapalani,Bleeding Gums,07:00 AM,11:00 PM,Chennai
5,Dr. Srinivasan H Dr. Arathy S. Lankupalli,Dentist,22,"Fellowship in Laser Dentistry, BDS, Certified Implantologist, MDS - Oral & Maxillofacial S...read more",₹ 200,,Sparks Dental Centre-Anna Nagar,Anna Nagar,,05:00 PM,08:30 PM,Chennai
6,Dr. Manikandan S,Dentist,25,"MDS - Orthodontics, BDS",₹ 100,,punnagai dental clinic,Maraimalai Nagar,,05:30 PM,09:00 PM,Chennai
7,Dr. Dany A Mds,Dentist,23,"MDS - Oral Medicine and Radiology, BDS",₹ 200,₹ 150,V CARE CLINICS,Chennai,"Root canal, Gap ClosingNext ",09:00 AM,08:00 PM,Chennai
8,Dr. Sheethal Mohammed Sherif,Dentist,12,BDS,₹ 100,₹ 50,Dr. Sheethal's DENTAL STUDIO,Mahindra World City,,04:00 PM,09:00 PM,Chennai
9,Dr. Hemakumar V,Dentist,26,BDS,₹ 300,₹ 200,Dr.Hemakumar's DenCity Dental Care,T.Nagar,,04:00 PM,06:00 PM,Chennai
10,Dr. Neetu Punhani,Dentist,19,"MDS, BDS",₹ 300,,,,,05:00 PM,08:30 PM,Chennai
11,Dr. Ganesh,Dentist,16,,,,,,,05:00 PM,09:00 PM,Chennai
12,Dr. Selvapriya,Dentist,9,BDS,₹ 300,₹ 100,ConfiDental Clinic,Anna Nagar,,09:30 AM,04:00 PM,Chennai
13,Dr. Kamini Pawan,Dentist,14,BDS,₹ 200,₹ 300,Ramchandra's jus smile Dental clinic,Kolathur,Root canal,05:00 PM,09:00 PM,Chennai
14,Dr. Jamin Joseph,Dentist,13,"BDS, MDS",₹ 100,₹ 100,JOSEPH DENTAL,Mogappair East,,,,Chennai
15,Dr. Magesh R,Dentist,12,"MBA (Healthcare), BDS",₹ 250,₹ 100,Vee Care Dental,Kottivakkam,,09:00 AM,01:00 PM,Chennai
16,Dr. Sathish Alavandar,Dentist,21,"BDS, MDS Prosthodontics",₹ 200,₹ 100,M2M Dental Clinics,Kolathur,,12:00 PM,09:00 PM,Chennai
17,Dr. Rangeeth B N,Dentist,17,MDS,₹ 300,₹ 300,JUST FOR KIDDS LASER DENTAL CLINIC,Chennai,,04:00 PM,09:00 PM,Chennai
18,Dr. Murugavel C,Dentist,22,"MDS, BDS",₹ 200,₹ 100,Best Laser Dental Clinic,Valasaravakkam,,09:00 AM,09:00 PM,Chennai
19,Dr. Pradeep Kumar,Dentist,22,"MDS - Periodontics, BDS",₹ 150,₹ 200,,,,05:30 PM,09:00 PM,Chennai
20,Dr. Nagarathinam A,Dentist,12,"MDS, BDS",₹ 150,₹ 150,White Multispeciality Dental Clinic and Implant Centre,Anna Nagar,,06:00 PM,09:30 PM,Chennai
21,Dr. Sudharshan Ramachandran,Dentist,17,"MDS Prosthodontics, BDS",₹ 300,₹ 200,Odontia Dentistry,Mandaveli,,04:30 PM,08:30 PM,Chennai
22,Dr. Jayakrishna Kalluru,Dentist,9,MDS - Orthodontics,₹ 200,₹ 200,Jaya Dental Care,Chennai,Root canalNext ,11:00 AM,09:00 PM,Chennai
23,Dr. Kanimozhi K,Dentist,13,"B.D.S, Master of Science  - Epidemiology",₹ 200,₹ 100,Dental care,Manapakkam,,,,Chennai
24,Dr. Saravanakumar,Dentist,20,"BDS, MDS, PG in Laser Dentistry, Fellowship in Dermatological Laser Surgery, PG in Laser D...read more",₹ 100,,,,,10:00 AM,01:00 PM,Chennai
