,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Available From,Available Till,City,Total Fee,Number of Hrs. Available
0,Dr. Kaustubh Das,Dentist,22.0,"BDS, MFDS RCPS(Glasgow), FFD RCS (IRE)",500.0,0.0,ASPIRE CLINIC,Kolkata,10:00:00,19:00:00,Kolkata,500.0,09:00
1,Dr. Asif Naushad,Dentist,19.0,"House Surgeon, House Surgeon, House Surgeon, BDS",300.0,300.0,JM DENTAL,Kolkata,10:00:00,21:00:00,Kolkata,600.0,11:00
2,Dr. Prabhjeet Singh Sethi,Dentist,24.0,Certified Implantologist,500.0,350.0,Dontia Dental Care,Kolkata,15:00:00,20:00:00,Kolkata,850.0,05:00
3,Dr. Sanket Chakraverty,Dentist,15.0,"MDS Prosthodontics, B.D.S",300.0,300.0,Teeth Care Multispeciality Dental Clinic,Rajarhat Road,16:30:00,20:30:00,Kolkata,600.0,04:00
4,Dr. Subhajit Dutta,Dentist,13.0,BDS,500.0,300.0,SIGNATURE SMILE Dental Clinic,Kolkata,17:00:00,21:00:00,Kolkata,800.0,04:00
5,Dr. Anupreet Kaur Choudhury,Dentist,25.0,"BDS, MDS - Oral Medicine and Radiology",500.0,500.0,Dentall,Kestopur,17:00:00,20:00:00,Kolkata,1000.0,03:00
6,Dr. F Sarkar,Dentist,17.0,BDS,400.0,400.0,Dr F Sarkar,Lenin Sarani,16:00:00,18:30:00,Kolkata,800.0,02:30
7,Dr. Supratim Chanda,Dentist,21.0,BDS,500.0,0.0,Chanda Dental Clinic,Shyambazar,12:00:00,18:30:00,Kolkata,500.0,06:30
8,Dr. Ruchi Lohia,Dentist,25.0,"BDS, Fellow of Academy of General Education (FAGE), Advanced Endotontic Course On Root Can...read more",450.0,125.0,Apurva Dental Care,Salt Lake,10:30:00,14:00:00,Kolkata,575.0,03:30
9,Dr. Kashif Ahmed Shamsi,Dentist,11.0,"Internationally Certified Practitioner for ClearPath Orthodontics, BDS, Advanced Aesthetic...read more",200.0,0.0,DentRelief Dental Clinic,Chittaranjan Avenue,17:00:00,21:00:00,Kolkata,200.0,04:00
10,Dr. Anuj Kumar Pathak,Dentist,14.0,"MDS, BDS",500.0,100.0,TEETH AND GUMS DENTAL CLINIC,Salt Lake,17:00:00,21:00:00,Kolkata,600.0,04:00
11,Dr. Shyamaltanu Sengupta,Dentist,23.0,"BDS, CERTIFICATION IN COSMETIC DENTISTRY AND ORAL FULL MOUTH REHABILITATION",200.0,300.0,Smileline Dental Clinic,Konnagar,07:00:00,23:00:00,Kolkata,500.0,16:00
12,Dr. Abhradeep Chatterjee,Dentist,11.0,"BDS, PG Diploma in Forensic Odontology, MDS - Oral Medicen Radiology",300.0,100.0,Dr Chatterjees Medical And Dental Clinic,Thakurpukur,09:00:00,23:00:00,Kolkata,400.0,14:00
13,Dr. Mousheli Samanta,Dentist,11.0,BDS,300.0,300.0,Lion's hospital,Kolkata,11:00:00,15:00:00,Kolkata,600.0,04:00
14,Dr. Gopi Bagree,Dentist,17.0,"Certified Implantologist, Fellow of Academy of General Dentistry (FAGD), BDS",600.0,100.0,JD's Dental Clinic,Kalakar Street,13:30:00,16:30:00,Kolkata,700.0,03:00
15,Dr. Shiv Bhusan Pandey,Dentist,16.0,"BDS double honours (Implantologist) microdentist, Certification in Laser Dentistry soft ti...read more",500.0,100.0,SHINE ORAL & DENTAL CARE,New Alipore,16:30:00,20:00:00,Kolkata,600.0,03:30
16,Dr. Chandrima Santra,Dentist,20.0,"BDS, Post Graduate Diploma in Clinical Research, Certified Implantologist, Certified LASER dentist",300.0,200.0,Dental Care Unit,Kestopur,18:00:00,21:30:00,Kolkata,500.0,03:30
17,Dr. B K Biswas,Dentist,37.0,"MDS, BDS",600.0,0.0,Avinash Dental Clinic,Lake Town,09:30:00,13:30:00,Kolkata,600.0,04:00
18,Dr. Nilendu Sekhar Dhar,Dentist,15.0,"MDS - Orthodontics, BDS",400.0,200.0,COSMEDENT,Kolkata,17:00:00,21:00:00,Kolkata,600.0,04:00
19,Dr. Debkanta Ray,Dentist,11.0,BDS,150.0,500.0,Smile Care,Sonarpur,17:00:00,20:30:00,Kolkata,650.0,03:30
20,Dr. Abhay Sonthalia,Dentist,14.0,MDS Prosthodontics,400.0,300.0,SMILE O CARE,Kakurgachi,10:00:00,13:00:00,Kolkata,700.0,03:00
21,Dr. Neha Banerjee,Dentist,0.0,Not Mentioned,300.0,200.0,Smile,Kolkata,10:00:00,21:00:00,Kolkata,500.0,11:00
22,Dr. Supriyo Paul,Dentist,13.0,"BDS, MDS - Oral & Maxillofacial Surgery",300.0,599.0,STUDENTS' HEALTH HOME,Moulali,13:00:00,16:00:00,Kolkata,899.0,03:00
23,Dr. Abhik Pyne,Dentist,15.0,"MDS - Oral & Maxillofacial Surgery, BDS",500.0,0.0,ConfiDental,Garia,16:00:00,20:30:00,Kolkata,500.0,04:30
24,Dr. Rohini Gupta,Dentist,14.0,"MDS Endodontist, BDS",500.0,200.0,TEETH AND GUMS DENTAL CLINIC,Salt Lake,17:00:00,21:00:00,Kolkata,700.0,04:00
25,Dr. Soumya Ray,Dentist,18.0,"MDS Prosthodontics, BDS",300.0,100.0,SmileSense Dental Clinic,Shreebhumi,07:00:00,23:00:00,Kolkata,400.0,16:00
26,Dr. Barnali Misra,Dentist,15.0,"MDS Endodontist, BDS",200.0,500.0,Smilekraft Multispeciality Dental Clinic,Patuli,17:30:00,21:00:00,Kolkata,700.0,03:30
27,Dr. G Chakrabarty,Dentist,15.0,"BDS, MDS-Oral Surgery",500.0,500.0,Care N Cure Dental,Rajarhat Main Road,17:00:00,20:30:00,Kolkata,1000.0,03:30
28,Dr. Saikat Deb,Dentist,14.0,"BDS, MDS, Certified Implantologist",800.0,0.0,Enamel Pearls Speciality Dental Clinic  (On Call),Beliaghata,11:00:00,19:00:00,Kolkata,800.0,08:00
29,Dr. Soumendu Bhattacharya,Dentist,18.0,BDS,300.0,300.0,ANGEL DENTAL CLINIC,Ambagan,,,Kolkata,600.0,
30,Dr. Manish Tiwari,Dentist,11.0,"BDS, MDS - Oral & Maxillofacial Surgery, Fellowship in Oral Cancer Surgery",300.0,100.0,Islamia Hospital,Kolkata,12:00:00,13:00:00,Kolkata,400.0,01:00
