,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
0,Dr. Tejas Melkote,Dentist,20,"BDS, MDS - Pediatric Dentistry , Certificate Course In Conscious Sedation",₹ 500,₹ 250,Tooth Fairy Dental Care,Kondapur,Root canal ,10:00 AM,8:00 PM,Hyderabad
1,Dr. Afroz Ghori,Dentist,16,"MDS, BDS",₹ 100,,Neelofar Dental,Madhapur,"Teeth Cleaning (Scaling), Root Canal Treatment, Teeth Cleaning ",10:00 AM,1:00 PM,Hyderabad
2,Dr. P Parameswar Naishadham,Dentist,15,"MDS (ORAL & MAXILLOFACIAL PATHOLOGY), BDS",₹ 200,₹ 200,Shree Jayalakshmi dental clinic,Badangpet,,10:00 AM,1:30 PM,Hyderabad
3,Dr. K R Maheshwar Reddy,Dentist,18,"MDS - Pediatric and Preventive Dentistry, BDS",₹ 200,₹ 200,Rushi Dental Care,Nallagandla,"Bad Breath, Bleeding Gums, Broken Teeth",4:00 PM,8:00 PM,Hyderabad
4,Dr. Y S Reddy,Dentist,27,BDS,₹ 300,₹ 100,YSR Speciality dental clinic,Ameerpet,,5:30 PM,8:30 PM,Hyderabad
5,Dr. Siddharth Bhalerao,Dentist,21,"BDS, MDS, MBA (Healthcare), FAM",₹ 200,,Dental And Maxillo-facial Clinic Dental And Maxillo-Facial Clinic,Banjara Hills,,12:30 PM,8:00 PM,Hyderabad
6,Dr. N.Vinod Gandhi,Dentist,12,"BDS, BDS",₹ 500,₹ 100,Dr.CARE DENTAL HOSPITAL,Hyderabad,,10:00 AM,7:00 PM,Hyderabad
7,Dr. Vineet Dubey,Dentist,14,BDS,₹ 100,₹ 100,Aarogyasree Army Dental Clinic,Secunderabad,"Toothache, Root canal",,,Hyderabad
8,Dr. Rishabh S Gupta,Dentist,13,"BDS, M.Sc - Master of Oral Implantology (MOI)",₹ 400,₹ 100,Tooth Tales Dental Hospital,Gachibowli,,12:00 PM,5:00 PM,Hyderabad
9,Dr. Sameer. G,Dentist,16,BDS,₹ 100,₹ 300,Dr. Sameer's Dental Clinic & Implant Centre,Hyderabad,,10:00 AM,9:00 PM,Hyderabad
10,Dr. Prasad Meka,Dentist,28,"MDS Prosthodontics, BDS",₹ 350,₹ 200,KIMS Dental Care,Secunderabad,"Stained Teeth, Teeth Whitening, Painful Teething ",9:00 AM,5:30 PM,Hyderabad
11,Dr. Prathyusha Prasad,Dentist,28,"MDS, BDS",₹ 350,₹ 200,KIMS Dental Care,Secunderabad,"Gap Closing, Stained Teeth ",9:00 AM,5:30 PM,Hyderabad
12,Dr. Rajavardhan K,Dentist,12,MDS,₹ 200,₹ 100,SRAVANI DENTAL CARE,A.S Rao Nagar,"Dental Care, Root Canal Treatment, Teeth Cleaning",10:00 AM,8:30 PM,Hyderabad
13,Dr. Hormuzd K,Dentist,23,MDS - Periodontics,₹ 200,₹ 50,Dr Hormuzd K Vakil,Secunderabad,,7:00 AM,3:00 PM,Hyderabad
14,Dr. V.S   Sharavana Kumar,Dentist,21,"MDS - Oral & Maxillofacial Surgery, BDS",₹ 200,₹ 150,Sundari Maternity And General Hospital,Alwal,,10:00 AM,1:00 PM,Hyderabad
15,Dr. Pogaku Rajkumar,Dentist,17,BDS,₹ 200,₹ 400,Dental City Super Speciality Dental Hospital,East Marredpally,,9:30 AM,1:30 PM,Hyderabad
16,Dr. Chaitanya Byragoni,Dentist,13,MDS Endodontist,₹ 100,,OROCARE DENTAL CLINIC,Secunderabad,,,,Hyderabad
17,Dr. Firas Furruq Jahangir,Dentist,12,BDS,₹ 100,₹ 200,ToothWise Dental Hospital,Hyderabad,,4:00 PM,6:00 PM,Hyderabad
18,Dr. Mohammed  Zakiullah,Dentist,11,BDS,₹ 100,₹ 100,Whitedent Dental Care,Gudimalkapur,,5:00 PM,10:00 PM,Hyderabad
19,Dr. Bharath Kommu,Dentist,14,BDS,₹ 200,,SRI DURGA DENTAL CARE-HASTHINAPURAM SOUTH,Hastinapuram,Wisdom Tooth Removal ,9:00 AM,7:00 PM,Hyderabad
