,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
0,Dr. Kaustubh Das,Dentist,22,"BDS, MFDS RCPS(Glasgow), FFD RCS (IRE)",₹ 500,,ASPIRE CLINIC,Kolkata,,10:00 AM,07:00 PM,Kolkata
1,Dr. Pioneer Scans,Dentist,24,"BDS, MDSPioneer Scans   , Kolkat",,,,,,09:00 AM,02:00 PM,Kolkata
2,Dr. Asif Naushad,Dentist,19,"House Surgeon, House Surgeon, House Surgeon, BDS",₹ 300,₹ 300,JM DENTAL,Kolkata,DenturesNext ,10:00 AM,09:00 PM,Kolkata
3,Dr. Prabhjeet Singh Sethi,Dentist,24,Certified Implantologist,₹ 500,₹ 350,Dontia Dental Care,Kolkata,"Oral Thrush, Stained Teeth, Painful TeethingNext ",03:00 PM,08:00 PM,Kolkata
4,Dr. Dibyendu Dutta,Dentist,30,"Certified Implantologist, Advanced Aesthetics, BDS",₹ 300,₹ 500,Smilz Dental Treatment Facility,www.smilz.net,"Teeth Cleaning, Root canal, Dental FillingsNext ",11:00 AM,01:00 PM,Kolkata
5,Dr. Sanket Chakraverty,Dentist,15,"MDS Prosthodontics, B.D.S",₹ 300,₹ 300,Teeth Care Multispeciality Dental Clinic,Rajarhat Road,"Root canal, Dental Fillings, Teeth Cleaning",04:30 PM,08:30 PM,Kolkata
6,Dr. Subhajit Dutta,Dentist,13,BDS,₹ 500,₹ 300,SIGNATURE SMILE Dental Clinic,Kolkata,,05:00 PM,09:00 PM,Kolkata
7,Dr. Anupreet Kaur Choudhury,Dentist,25,"BDS, MDS - Oral Medicine and Radiology",₹ 500,₹ 500,Dentall,Kestopur,"Metal Braces, Teeth Cleaning, Scaling and Polishing TeethNext ",05:00 PM,08:00 PM,Kolkata
8,Dr. F Sarkar,Dentist,17,BDS,₹ 400,₹ 400,Dr F Sarkar,Lenin Sarani,"Root canal, Teeth StraighteningNext ",04:00 PM,06:30 PM,Kolkata
9,Dr. Supratim Chanda,Dentist,21,BDS,₹ 500,,Chanda Dental Clinic,Shyambazar,,12:00 PM,06:30 PM,Kolkata
10,Dr. Ruchi Lohia,Dentist,25,"BDS, Fellow of Academy of General Education (FAGE), Advanced Endotontic Course On Root Can...read more",₹ 450,₹ 125,Apurva Dental Care,Salt Lake,Toothache,10:30 AM,02:00 PM,Kolkata
11,Dr. Kashif Ahmed Shamsi,Dentist,11,"Internationally Certified Practitioner for ClearPath Orthodontics, BDS, Advanced Aesthetic...read more",₹ 200,,DentRelief Dental Clinic,Chittaranjan Avenue,"Teeth Whitening, Teeth CleaningNext ",05:00 PM,09:00 PM,Kolkata
12,Dr. Subhadeep Raha,Dentist,26,Advanced Aesthetics,₹ 300,,,,,10:30 AM,09:00 PM,Kolkata
13,Dr. Anuj Kumar Pathak,Dentist,14,"MDS, BDS",₹ 500,₹ 100,TEETH AND GUMS DENTAL CLINIC,Salt Lake,"Pedodontics (Children Dentistry), Dental Fillings, Wisdom Tooth Removal",05:00 PM,09:00 PM,Kolkata
14,Dr. Shyamaltanu Sengupta,Dentist,23,"BDS, CERTIFICATION IN COSMETIC DENTISTRY AND ORAL FULL MOUTH REHABILITATION",₹ 200,₹ 300,Smileline Dental Clinic,Konnagar,,07:00 AM,11:00 PM,Kolkata
15,Dr. Abhradeep Chatterjee,Dentist,11,"BDS, PG Diploma in Forensic Odontology, MDS - Oral Medicen Radiology",₹ 300,₹ 100,Dr Chatterjees Medical And Dental Clinic,Thakurpukur,,09:00 AM,11:00 PM,Kolkata
16,Dr. Anuran Ghosh Mondal,Dentist,11,BDS,₹ 250,₹ 200,,,,11:00 AM,08:00 PM,Kolkata
17,Dr. Mousheli Samanta,Dentist,11,BDS,₹ 300,₹ 300,Lion's hospital,Kolkata,,11:00 AM,03:00 PM,Kolkata
18,Dr. Gopi Bagree,Dentist,17,"Certified Implantologist, Fellow of Academy of General Dentistry (FAGD), BDS",₹ 600,₹ 100,JD's Dental Clinic,Kalakar Street,Root canalNext ,01:30 PM,04:30 PM,Kolkata
19,Dr. Shiv Bhusan Pandey,Dentist,16,"BDS double honours (Implantologist) microdentist, Certification in Laser Dentistry soft ti...read more",₹ 500,₹ 100,SHINE ORAL & DENTAL CARE,New Alipore,,04:30 PM,08:00 PM,Kolkata
20,Dr. Chandrima Santra,Dentist,20,"BDS, Post Graduate Diploma in Clinical Research, Certified Implantologist, Certified LASER dentist",₹ 300,₹ 200,Dental Care Unit,Kestopur,"Braces for Adults and Teens, Dental CareNext ",06:00 PM,09:30 PM,Kolkata
21,Dr. B K Biswas,Dentist,37,"MDS, BDS",₹ 600,,Avinash Dental Clinic,Lake Town,,09:30 AM,01:30 PM,Kolkata
22,Dr. Nilendu Sekhar Dhar,Dentist,15,"MDS - Orthodontics, BDS",₹ 400,₹ 200,COSMEDENT,Kolkata,,05:00 PM,09:00 PM,Kolkata
23,Dr. Debkanta Ray,Dentist,11,BDS,₹ 150,₹ 500,Smile Care,Sonarpur,,05:00 PM,08:30 PM,Kolkata
24,Dr. Abhay Sonthalia,Dentist,14,MDS Prosthodontics,₹ 400,₹ 300,SMILE O CARE,Kakurgachi,"Crossbite, Root Canal Treatment, Teeth Cleaning",10:00 AM,01:00 PM,Kolkata
25,Dr. Neha Banerjee,Dentist,,,₹ 300,₹ 200,Smile,Kolkata,Root canalNext ,10:00 AM,09:00 PM,Kolkata
26,Dr. Supriyo Paul,Dentist,13,"BDS, MDS - Oral & Maxillofacial Surgery",₹ 300,₹ 599,STUDENTS' HEALTH HOME,Moulali,"Root canal, Teeth Cleaning, Root Canal Treatment (RCT)Next ",01:00 PM,04:00 PM,Kolkata
27,Dr. Abhik Pyne,Dentist,15,"MDS - Oral & Maxillofacial Surgery, BDS",₹ 500,,ConfiDental,Garia,,04:00 PM,08:30 PM,Kolkata
28,Dr. Rohini Gupta,Dentist,14,"MDS Endodontist, BDS",₹ 500,₹ 200,TEETH AND GUMS DENTAL CLINIC,Salt Lake,"Root canal, Teeth Whitening",05:00 PM,09:00 PM,Kolkata
29,Dr. Trisha Ghosh,Dentist,13,"BDS, MDS - Orthodontics",₹ 500,,,,"Root Canal Treatment, Root canal, Dental CareNext ",04:00 PM,06:00 PM,Kolkata
30,Dr. Soumya Ray,Dentist,18,"MDS Prosthodontics, BDS",₹ 300,₹ 100,SmileSense Dental Clinic,Shreebhumi,,07:00 AM,11:00 PM,Kolkata
31,Dr. Barnali Misra,Dentist,15,"MDS Endodontist, BDS",₹ 200,₹ 500,Smilekraft Multispeciality Dental Clinic,Patuli,,05:30 PM,09:00 PM,Kolkata
32,Dr. G Chakrabarty,Dentist,15,"BDS, MDS-Oral Surgery",₹ 500,₹ 500,Care N Cure Dental,Rajarhat Main Road,,05:00 PM,08:30 PM,Kolkata
