,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
0,Dr. Amruta Kakade Tamhankar,Dentist,21,BDS,₹ 500,₹ 500,,,Teeth WhiteningNext ,04:00 PM,08:30 PM,Pune
1,Dr. Sourabh Sunil Sanghavi,Dentist,11,BDS,₹ 200,₹ 200,Dr. Sanghavi's Smile32 Dental Clinic- Pune,Sadashiv peth,,09:00 AM,11:30 AM,Pune
2,Dr. Pratiksha Agrawal,Dentist,17,BDS,₹ 200,₹ 300,Impressions Dental Care,Tingre Nagar,"Ceramic Crowns And Bridges Fixing, Crowns And Bridges, Ceramic Crowns and Bridges",11:00 AM,01:00 PM,Pune
3,Dr. Kushal Bhandari,Dentist,14,"Certified Implantologist, Advanced Aesthetics",₹ 300,₹ 150,Pearl Dental Care,Satara Road,"Teeth Cleaning, Dental Care, Implants",09:30 AM,01:30 PM,Pune
4,Dr. Swapnil Patil,Dentist,17,BDS,₹ 300,₹ 100,Cosmetic Dental Implant Center,Wakad,,10:00 AM,09:00 PM,Pune
5,Dr. Darshan Parikh,Dentist,20,"BDS, Basic Life Support (B.L.S)",,₹ 300,Vimal Dental Clinic,Camp,"Toothache, Root canal, Bad BreathNext ",09:00 AM,01:00 PM,Pune
6,Dr. Priyam Aditya,Dentist,18,"MDS Prosthodontics, BDS",₹ 200,₹ 400,Aditya's Dental Privilege,Baner,,05:00 PM,09:00 PM,Pune
7,Dr. Junaid Shah,Dentist,20,BDS,₹ 500,₹ 100,LIMRA Dental Clinic,Pune,Root canalNext ,10:00 AM,10:00 PM,Pune
8,Dr. Chinmay Gokhale,Dentist,17,"BDS, MDS - Oral & Maxillofacial Surgery",₹ 300,₹ 300,Gokhale Dental Clinic,Sinhagad,"Tooth Extraction, Wisdom Tooth Removal, Teeth CleaningNext ",09:00 AM,01:00 PM,Pune
9,Dr. Ratnika Agarwal,Dentist,13,"BDS, Certificate in Cosmetic Dentistry, Certified in Orthodontics, Certification in Prosth...read more",₹ 300,₹ 50,Dr Ratnika's - Smile Up Dental Clinic & Implant Center,Kharadi,"Teeth Cleaning (Scaling), Teeth Cleaning, Teeth Straightening",09:00 AM,09:30 PM,Pune
10,Dr. Sameer Bhandari,Dentist,28,BDS,₹ 200,,Bhandari Dental Clinic,Pune,,10:00 AM,06:00 PM,Pune
11,"Dr. Rahul Kathariya M.D.S, Ph.D.",Dentist,18,"BDS, MDS - Periodontics, Ph.D.",₹ 300,₹ 300,Dental Galaxy,Bajirao road,"Bleeding Gums Treatment, Bleeding Gums, Dentures",11:30 AM,04:00 PM,Pune
12,Dr. Rahul Lodaya,Dentist,19,MDS,₹ 300,,Smile Bay Dental Care,Rahatani,Ceramic CrownsNext ,07:00 AM,07:00 AM,Pune
13,Dr. Amit Meshram,Dentist,18,"BDS, MPH",₹ 200,,Dr.Amit's Dental Clinic,Pimpri,,10:00 AM,07:00 PM,Pune
14,Dr. Mandar Joglekar,Dentist,26,BDS,₹ 200,₹ 150,Joglekars' Dental Solutions,Pune,"Dental Extractions, ExtractionsNext ",06:00 PM,06:30 PM,Pune
15,Dr. Ashish Ingale,Dentist,13,BDS,₹ 300,,32pearls dental spa and implant center,Pashan,"Advanced Surgery In Implantology, Acrylic Partial Denture, ImplantologyNext ",12:00 PM,08:00 PM,Pune
16,Dr. Sangeetha Choudhary,Dentist,15,"BDS, D.pharm",₹ 100,₹ 50,Wellness dental and cosmetic clinic,Pune,,07:00 AM,11:00 PM,Pune
17,Dr. Puja Bansal,Dentist,25,"BDS, CDE Endo-Prostho, CDE - Cast Partial & Complete Dentures",₹ 300,₹ 999,Prudent International Health Clinic,Kalyani Nagar,"Stained Teeth, Cavities, Teeth CleaningNext ",10:00 AM,12:30 PM,Pune
18,Dr. Gitesh Kothari,Dentist,26,BDS,₹ 200,,Anand Dental Care,Viman Nagar,,01:00 PM,03:30 PM,Pune
19,Dr. Pooja Dubey,Dentist,17,"BDS, PGDEMS",₹ 300,,Omkar Dental Clinic,Wakad,"Teeth Cleaning, Tooth Extraction, Bleeding Gums",10:00 AM,01:00 PM,Pune
20,Dr. Milind Darda Mds,Dentist,25,"BDS (Implantologist), MDS - Orthodontics",₹ 100,₹ 100,32 Smiles,J M Road,,09:00 AM,08:30 PM,Pune
21,Dr. Bhushan Phalak,Dentist,17,BDS,₹ 200,,Dr Phalak's D'Sign Dental Clinic,Bavdhan,,06:00 PM,08:30 PM,Pune
22,Dr. Chetan Oswal,Dentist,17,BDS,₹ 100,₹ 100,Sanghvi Dental Care,Talegaon,Root canal,09:30 AM,01:30 PM,Pune
23,Dr. Jyuthica Laghate,Dentist,21,"BDS, M.S.in International Health, Dip.in Homoeopathy, Dip.in Holistic Pain Management",₹ 250,₹ 350,Orawell Dental Care,Pune,,05:30 PM,07:30 PM,Pune
24,Dr. Ritesh Kumar Singh,Dentist,15,BDS,₹ 300,₹ 100,COMPLETE DENTAL CARE AND IMPLANT CENTRE,Pimple Saudagar,,11:00 AM,02:00 PM,Pune
25,Dr. Aashish Mathesul Orthodontist,Dentist,22,MDS - Orthodontics,₹ 100,₹ 300,Invisalign Invisible Braces Orthodontic Dental Implant Clinic,Kalyani Nagar,"Root canal, Teeth Cleaning, Wisdom TeethNext ",05:30 PM,08:30 PM,Pune
26,Dr. Shobha Hande,Dentist,27,BDSDr. Hand,,,,,,05:00 PM,08:30 PM,Pune
27,Dr. Meenakshi Shinde,Dentist,14,"DEMS, BDS",₹ 200,₹ 300,Meenakshi's Dental Clinic,Mundhwa Road,,05:00 PM,08:30 PM,Pune
28,Dr. Avinash Bamane,Dentist,16,BDS,₹ 500,₹ 500,AR 32 Signature Smiles - Branch 3 - Kharadi,Kharadi,,09:00 AM,09:00 PM,Pune
29,Dr. Bhawana Singh,Dentist,14,MDS - Oral & Maxillofacial Surgery,₹ 300,₹ 200,Global Dental Care,Nagar Road,"Dental Care, Implant Tooth Fixing, Root Canal Treatment (RCT)Next ",10:00 AM,01:00 PM,Pune
30,Dr. Sneha Divekar,Dentist,17,"International Certification in Aesthetic Dentistry, BDS",₹ 100,₹ 150,Dental Fitness - Complete Care Dental Clinic,Karve Nagar,,05:00 PM,08:00 PM,Pune
31,Dr. Shweta Bobhate,Dentist,,,₹ 0,,Dr. Gentle Dental Clinic,Bhukum,,09:30 AM,02:00 PM,Pune
32,Dr. Vasu Patil,Dentist,16,"MDS - Orthodontics, BDS",₹ 150,,,,,10:30 AM,08:30 PM,Pune
33,Dr. Gauri Pasricha,Dentist,11,BDS,₹ 300,₹ 150,,,,10:00 AM,08:00 PM,Pune
34,Dr. Amit Gokhale,Dentist,28,BDS,₹ 500,,Dr Amit Gokhale's Dental Clinic,Karve Road,,02:00 PM,09:00 PM,Pune
35,Dr. Kunal Janrao,Dentist,13,"BDS, MDS - Periodontics",₹ 100,₹ 300,TOOTH + GUMS Multispeciality Dental Clinic and Implant Centre,Aundh,,09:00 AM,09:00 PM,Pune
36,Dr. Ashish Gupta,Dentist,,,₹ 200,₹ 300,Acme Dental Lounge,DP Road,,10:30 AM,08:30 PM,Pune
37,Dr. Abhinav Talekar,Dentist,15,MDS,₹ 300,,Talekar Children's Dental Care,Camp,Root canalNext ,10:00 AM,02:00 PM,Pune
38,Dr. Niraj Shelke,Dentist,16,"Post Graduate Diploma in Healthcare Management (P.G.D.H.M), BDS",₹ 200,,A Dentist,Wakad,,09:30 AM,08:30 PM,Pune
39,"Dr. Jains Dental Care, Unit-2",Dentist,23,MDS - PeriodonticsDr Jai,,,,,,,,Pune
40,Dr. Prakhya  Gaur,Dentist,14,"BDS, Certified Implantologist, ABCD End",₹ 150,₹ 100,Dr.Prakhya,Pune,,06:00 PM,09:00 PM,Pune
41,Dr. Ashvini Phadnis,Dentist,17,"BDS, MDS - Paedodontics And Preventive Dentistry",₹ 300,₹ 100,AV Children Dental Clinic,DP Road,,11:00 AM,01:00 PM,Pune
42,Dr. Saurabh Birla,Dentist,18,"BDS, MDS - Orthodontics",₹ 200,,Birla Dental Clinic & Orthodontic Centre,Hadapsar,Root canalNext ,04:00 PM,08:30 PM,Pune
43,Dr. Vidya Pandit,Dentist,25,"Post Graduate Diploma in Holistic Healthcare, BDS",₹ 500,₹ 300,Dr Pandit's Clinic for Dental Excellence and Implant Centre,Baner,,05:00 PM,09:00 PM,Pune
44,Dr. Tejashree Chandakkar,Dentist,19,BDS,₹ 200,₹ 200,SMILE MULTISPECIALITY DENTAL CLINIC AND IMPLANT CENTRE,Yerwada,"Invisalign, Straightening Teeth (Invisalign)Next ",04:30 PM,07:30 PM,Pune
45,Dr. Soniya Tinna,Dentist,20,BDS,₹ 300,,Kartik Dental Clinic,Pimple Saudagar,,10:00 AM,02:00 PM,Pune
46,Dr. Jyotirmayee Dalai,Dentist,10,"MDS - Pediatric Dentistry, BDS, Fellow in Orthodontic World Institute",₹ 500,₹ 100,Dr. Dalai's Pediatric Dental Center,Pimpri Chinchwad,,05:00 PM,09:00 PM,Pune
47,Dr. Sm Shaikh,Dentist,14,"MDS - Oral & Maxillofacial Surgery, BDS (Implantologist)",₹ 200,₹ 200,NovaCure Dental Clinic,Hinjewadi,,10:00 AM,10:00 PM,Pune
48,Dr. Deepak Dhapekar,Dentist,22,BDS,₹ 200,₹ 200,Dhapekar's Dental Care & Implant Center,Pune,,05:00 PM,08:30 PM,Pune
49,Dr. Shailesh Dongre,Dentist,12,M.D.S.,₹ 200,,Caredent Multispeciality Dental Clinic,Thergaon,,11:30 AM,08:00 PM,Pune
50,Dr. Pradeep Kumari,Dermatologist,22,"MBBS, MD - Dermatology, F.C.P.S.(Dermatology, Venereology & Leprosy), Diploma in Venerolog...read more",₹ 700,₹ 700,Skin & Surgery International & Asia Institute of Hair Transplant,Viman Nagar,"Hair Transplant, Pimples, Pimples TreatmentNext ",10:30 AM,07:30 PM,Pune
51,Dr. Vijay Nagdev,Dermatologist,16,"MD - General Medicine, Diploma in Dermatology, Diploma in Medical Cosmetology",₹ 700,₹ 400,The Skin Doctors,Masulkar colony,"Acne Scars, Acne Scars Treatment, Stem Cell TherapyNext ",10:00 AM,06:00 PM,Pune
52,Dr. K.R Chandvania,Dermatologist,42,MD - Dermatology,₹ 900,₹ 900,Skin Square by Pallavi Laser Centre (Pimpri),Pimpri,"Melasma, Laser Hair Removal, Acne ScarsNext ",06:00 PM,08:00 PM,Pune
53,Dr. Hetal Jobanputra,Dermatologist,24,"F.C.P.S (Dermatology), MBBS Bachelor of Medicine and Bachelor of Surgery, DDV",₹ 600,₹ 500,Radiant Skin & Hair Clinic,Baner,,06:30 PM,08:30 PM,Pune
54,Dr. Dhananjay Chavan,Dermatologist,38,"MBBS, MD - Dermatology, DDV",,,,,"Pimples, Pimples Treatment, Acne/Pimples",11:00 AM,03:00 PM,Pune
55,Dr. Sanjana Nair,Dermatologist,17,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL), Fellowship in medical cosmetology",₹ 300,₹ 350,Ashwathy Skin  And Laser Clinic,Khadki,"Pimples, Pimples, Acne ScarsNext ",10:30 AM,12:30 PM,Pune
56,Dr. Mahendra Nagargoje,Dermatologist,22,"MBBS, MD - Dermatology",₹ 500,,Dr. Nirmal Pethe Clinic,Pimpri,,01:00 PM,02:00 PM,Pune
57,Dr. Arshi Rahul,Dermatologist,13,"Diploma In Skin Aesthetics, BHMS, Certificate Course in Skin & Vinereal Disease",₹ 500,₹ 350,The Daily Aesthetics,Kalyani Nagar,"Oily Skin, Hair Transplant, WhiteningNext ",10:00 AM,06:00 PM,Pune
58,Dr. Rohan Anand,Dermatologist,13,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL)",₹ 500,₹ 300,Skin World Clinic,Koregaon Park,,11:00 AM,08:00 PM,Pune
59,Kaya Skin Clinic,Dermatologist,16,Dermatology Backed Expert Skin & Hair Care Solution,₹ 500,,,,"Acne Scars, Pimples Treatment, Acne/Pimples",,,Pune
60,Dr. Shruti Jadhav-devershi,Dermatologist,14,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL)",₹ 600,₹ 999,Solskin Professional Dermacare,Kharadi,"Acne/Pimples, Pimples, Pimples Treatment",06:00 PM,08:00 PM,Pune
61,Dr. Nandini Teli,Dermatologist,15,"MBBS, MD - Dermatology, Fellowship In Anti Aging & Aesthetic Medicine (Germany)",₹ 700,₹ 300,Alpha Superspeciality Hospital,Wakad,,12:00 PM,01:00 PM,Pune
62,Dr. A Elangovan ..,Dermatologist,32,"MBBS, Diploma in Dermatology",₹ 150,,Skin Care Clinic,Sadashiv peth,"Warts, Pimples Treatment, Acne ScarsNext ",10:00 AM,01:30 PM,Pune
63,Dr. Rahul R Patil,Dermatologist,24,"MBBS Bachelor of Medicine and Bachelor of Surgery, Diploma In Dermatology And Venerology A...read more",₹ 500,₹ 600,SKINESSE Advanced Skin & Hair Clinic,Kharadi,,05:00 PM,08:00 PM,Pune
64,Dr. Amey Kelkar,Dermatologist,19,"MD - Dermatology , Venereology & Leprosy, MBBS Bachelor of Medicine and Bachelor of Surgery",₹ 600,,Derma Solutions - Skin Cosmetology & Laser Centre,Paud Road,Pimples TreatmentNext ,05:00 PM,08:00 PM,Pune
65,Dr. Tannu Vidyanand,Dermatologist,44,M D dermat,₹ 500,₹ 750,Dr Tannu Skin Clinic,Ganesh Road,,05:00 PM,09:00 PM,Pune
66,Dr. Rashmi Gujalwar,Dermatologist,18,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL)",₹ 600,₹ 500,Skin Cliinic 360,Pimple Saudagar,,05:45 PM,08:45 PM,Pune
67,Dr. Narendra  Patwardhan,Dermatologist,47,"MBBS, DDV, MD - Skin, VD & Leprosy",₹ 800,,Shreeyash Hospital,Deccan Gymkhana,"Acne Treatment, Dandruff, DermatitisNext ",05:00 PM,07:30 PM,Pune
68,Oliva Skin & Hair Clinic,Dermatologist,19,"MD - Dermatology, Trichologist",₹ 600,,,,"Scar Treatment, Pigmentation, Ear Lobe Repair",10:00 AM,08:00 PM,Pune
69,Dr. Rohini P Gaikwad,Dermatologist,31,"MBBS, MD - Dermatology , Venereology & Leprosy",₹ 400,₹ 300,Aashay the Skin,Hair & Laser Clinic,"Acne/Pimples, Hair Loss, BaldnessNext ",10:00 AM,01:00 PM,Pune
70,Skinovate Laser & Cosmetic Surgery,Dermatologist,17,Diploma in Trichology - Cosmetology,₹ 600,₹ 300,Skinovate Laser & Cosmetic Surgery,Pimple Saudagar,,10:00 AM,08:00 PM,Pune
71,Dr. Pradyumna Vaidya,Dermatologist,22,"DNB (Dermatology), DBD",₹ 500,,Skin & Laser Clinic,Sadashiv peth,,10:30 AM,01:00 PM,Pune
72,Dr. Tushar Kshirsagar,Dermatologist,19,"MBBS, DNB (Dermatology)",₹ 700,,Nuleaf Skin & Hair Clinic,Satara Road,"Nail Surgery, Dermabrasion, Acne Scars",05:30 PM,07:30 PM,Pune
73,Dr. Ravi Kothari,Dermatologist,18,"MD - Dermatology, MBBS",₹ 400,,Sparsh Clinic,Aundh,"Hair Growth, Hair Loss, Hair TreatmentNext ",10:00 AM,09:00 PM,Pune
74,Dr. Ashwini Ingle Salunke,Dermatologist,13,"Diploma in Dermatology, Venerology and Leprosy, MBBS",₹ 400,₹ 500,Derma Touch Skin Laser Hair Clinic,Kharadi,"Skin Health, Pimples TreatmentNext ",05:30 PM,08:30 PM,Pune
75,Vlcc Wellness,Dermatologist,,,,,,,,07:00 AM,08:00 PM,Pune
76,Dr. Someshwar Take,Dermatologist,21,"MBBS, DDV",₹ 500,₹ 300,Dr.Take Skin,Dental & Cosmetology clinic,,09:30 AM,01:30 PM,Pune
